"recipeClass","productIndex","productName","productClass","line","lineType","itemIndex","itemName","className","qty"
"MurcielShield","405","摩西尔之盾","MurcielShield","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielShield","405","摩西尔之盾","MurcielShield","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielShield","405","摩西尔之盾","MurcielShield","10","三级/中间材料","300","红色基诺之星","MixGem","4"
"MurcielShield","405","摩西尔之盾","MurcielShield","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","4"
"MurcielShield","405","摩西尔之盾","MurcielShield","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","0","成品行","401","摩西尔之盔","MurcielHelmet","99"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","2"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","7","二级材料","204","钢铁","Steel","700"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","10","三级/中间材料","300","红色基诺之星","MixGem","3"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","3"
"MurcielHelmet","401","摩西尔之盔","MurcielHelmet","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","0","成品行","402","摩西尔之铠","MurcielArmor","99"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","3"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","7","二级材料","204","钢铁","Steel","700"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","10","三级/中间材料","300","红色基诺之星","MixGem","5"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","3"
"MurcielArmor","402","摩西尔之铠","MurcielArmor","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","0","成品行","403","摩西尔之手","MurcielVambrace","99"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","1"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","7","二级材料","204","钢铁","Steel","700"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","10","三级/中间材料","300","红色基诺之星","MixGem","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","2"
"MurcielVambrace","403","摩西尔之手","MurcielVambrace","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","0","成品行","404","摩西尔之靴","MurcielBoots","99"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","1","三级/中间材料","302","液体 金属 铸块","Lv12Refine_LiquidMetal_I","2"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","2","二级材料","200","锆","Lv12Refine_Zirconium","2"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","3","二级材料","201","钛","Lv12Refine_Titanium","2"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","5","二级材料","203","铜","Lv12Refine_Copper","2"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","6","三级/中间材料","303","钢铁 补丁铁","Lv12Refine_SteelHasp","1"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","7","二级材料","204","钢铁","Steel","700"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","8","二级材料","205","合金粉","AlloyPowder","650"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","9","二级材料","206","一般 补丁铁","Lv12Refine_Hasp","1"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","10","三级/中间材料","300","红色基诺之星","MixGem","3"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","11","三级/中间材料","304","邪恶守护者的文章","Advance_Item_Insignia","3"
"MurcielBoots","404","摩西尔之靴","MurcielBoots","12","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","0","成品行","406","阿克德拳套","AcordGauntlet","99"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","5"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","8","二级材料","210","魔力石","PowerGem","400"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","11","三级/中间材料","300","红色基诺之星","MixGem","6"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","4"
"AcordGauntlet","406","阿克德拳套","AcordGauntlet","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordProtector","411","阿克德之盾","AcordProtector","0","成品行","411","阿克德之盾","AcordProtector","99"
"AcordProtector","411","阿克德之盾","AcordProtector","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","4"
"AcordProtector","411","阿克德之盾","AcordProtector","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordProtector","411","阿克德之盾","AcordProtector","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordProtector","411","阿克德之盾","AcordProtector","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordProtector","411","阿克德之盾","AcordProtector","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordProtector","411","阿克德之盾","AcordProtector","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordProtector","411","阿克德之盾","AcordProtector","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordProtector","411","阿克德之盾","AcordProtector","8","二级材料","210","魔力石","PowerGem","400"
"AcordProtector","411","阿克德之盾","AcordProtector","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordProtector","411","阿克德之盾","AcordProtector","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordProtector","411","阿克德之盾","AcordProtector","11","三级/中间材料","300","红色基诺之星","MixGem","4"
"AcordProtector","411","阿克德之盾","AcordProtector","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","4"
"AcordProtector","411","阿克德之盾","AcordProtector","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordArmor","408","阿克德之铠","AcordArmor","0","成品行","408","阿克德之铠","AcordArmor","99"
"AcordArmor","408","阿克德之铠","AcordArmor","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","3"
"AcordArmor","408","阿克德之铠","AcordArmor","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordArmor","408","阿克德之铠","AcordArmor","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordArmor","408","阿克德之铠","AcordArmor","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordArmor","408","阿克德之铠","AcordArmor","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordArmor","408","阿克德之铠","AcordArmor","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordArmor","408","阿克德之铠","AcordArmor","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordArmor","408","阿克德之铠","AcordArmor","8","二级材料","210","魔力石","PowerGem","400"
"AcordArmor","408","阿克德之铠","AcordArmor","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordArmor","408","阿克德之铠","AcordArmor","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordArmor","408","阿克德之铠","AcordArmor","11","三级/中间材料","300","红色基诺之星","MixGem","5"
"AcordArmor","408","阿克德之铠","AcordArmor","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","3"
"AcordArmor","408","阿克德之铠","AcordArmor","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordHelmet","407","阿克德之盔","AcordHelmet","0","成品行","407","阿克德之盔","AcordHelmet","99"
"AcordHelmet","407","阿克德之盔","AcordHelmet","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordHelmet","407","阿克德之盔","AcordHelmet","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordHelmet","407","阿克德之盔","AcordHelmet","8","二级材料","210","魔力石","PowerGem","400"
"AcordHelmet","407","阿克德之盔","AcordHelmet","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordHelmet","407","阿克德之盔","AcordHelmet","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordHelmet","407","阿克德之盔","AcordHelmet","11","三级/中间材料","300","红色基诺之星","MixGem","3"
"AcordHelmet","407","阿克德之盔","AcordHelmet","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","3"
"AcordHelmet","407","阿克德之盔","AcordHelmet","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordBoots","410","阿克德之靴","AcordBoots","0","成品行","410","阿克德之靴","AcordBoots","99"
"AcordBoots","410","阿克德之靴","AcordBoots","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","2"
"AcordBoots","410","阿克德之靴","AcordBoots","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordBoots","410","阿克德之靴","AcordBoots","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordBoots","410","阿克德之靴","AcordBoots","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordBoots","410","阿克德之靴","AcordBoots","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordBoots","410","阿克德之靴","AcordBoots","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordBoots","410","阿克德之靴","AcordBoots","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordBoots","410","阿克德之靴","AcordBoots","8","二级材料","210","魔力石","PowerGem","400"
"AcordBoots","410","阿克德之靴","AcordBoots","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordBoots","410","阿克德之靴","AcordBoots","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordBoots","410","阿克德之靴","AcordBoots","11","三级/中间材料","300","红色基诺之星","MixGem","3"
"AcordBoots","410","阿克德之靴","AcordBoots","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","3"
"AcordBoots","410","阿克德之靴","AcordBoots","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AcordVambrace","409","阿克德之手","AcordVambrace","0","成品行","409","阿克德之手","AcordVambrace","99"
"AcordVambrace","409","阿克德之手","AcordVambrace","1","三级/中间材料","305","绿色 蜘蛛 铸铁 矿石 铸块","Lv12Refine_BlueSpiderStone_IO_I","1"
"AcordVambrace","409","阿克德之手","AcordVambrace","2","二级材料","207","绿色 蜘蛛矿石","Lv12Refine_BlueSpiderStone","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","3","二级材料","208","铸铁 矿石 铸块","Lv12Refine_IronOre_I","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","4","二级材料","202","镍","Lv12Refine_Nickel","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","5","二级材料","203","铜","Lv12Refine_Copper","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","6","三级/中间材料","306","魔力的 绿色 涂料","Lv12Refine_ManaPaint_Blue","1"
"AcordVambrace","409","阿克德之手","AcordVambrace","7","二级材料","209","蓝色 枢纽","Lv12Refine_BlueHerb","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","8","二级材料","210","魔力石","PowerGem","400"
"AcordVambrace","409","阿克德之手","AcordVambrace","9","二级材料","211","腰果 涂料","Lv12Refine_CashewPaint","1"
"AcordVambrace","409","阿克德之手","AcordVambrace","10","二级材料","212","福尔马林 混合物","Lv12Refine_MixFormalin","1"
"AcordVambrace","409","阿克德之手","AcordVambrace","11","三级/中间材料","300","红色基诺之星","MixGem","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","12","三级/中间材料","307","地狱傀儡的拳头","Advance_Item_Fist","2"
"AcordVambrace","409","阿克德之手","AcordVambrace","13","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","0","成品行","412","阿博雷兹法杖","AblazeStaff","99"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","1","三级/中间材料","308","燃起的烟火 衣料","Lv12Refine_FireCloth","5"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","2","二级材料","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","3","二级材料","214","烟火之净水","Lv12Refine_Marrow_Fire","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","4","三级/中间材料","309","皮带","Strap","2000"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","5","三级/中间材料","310","魔力的 净水","Lv12Refine_Magic_Cream","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","6","二级材料","215","精工宝石","WareGemstone","50"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","7","二级材料","210","魔力石","PowerGem","50"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","8","三级/中间材料","311","火山的 钢绞线","Lv12Refine_Yarn_Red","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","9","二级材料","216","火山的 茧","Lv12Refine_Cocoon_Red","3"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","10","三级/中间材料","312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","2"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","11","二级材料","210","魔力石","PowerGem","160"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","12","二级材料","217","特殊 稀释剂","SpecialDiluted","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","13","二级材料","218","红色天然颜料","Lv12Refine_Dye_Red","1"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","14","三级/中间材料","300","红色基诺之星","MixGem","4"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","15","三级/中间材料","313","恶魔术士的蓝宝石","Advance_Item_RedJewel","3"
"AblazeStaff","412","阿博雷兹法杖","AblazeStaff","16","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","0","成品行","414","阿博雷兹之服","AblazeGarment","99"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","1","三级/中间材料","308","燃起的烟火 衣料","Lv12Refine_FireCloth","3"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","2","二级材料","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","3","二级材料","214","烟火之净水","Lv12Refine_Marrow_Fire","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","4","三级/中间材料","309","皮带","Strap","2000"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","5","三级/中间材料","310","魔力的 净水","Lv12Refine_Magic_Cream","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","6","二级材料","215","精工宝石","WareGemstone","50"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","7","二级材料","210","魔力石","PowerGem","50"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","8","三级/中间材料","311","火山的 钢绞线","Lv12Refine_Yarn_Red","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","9","二级材料","216","火山的 茧","Lv12Refine_Cocoon_Red","3"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","10","三级/中间材料","312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","2"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","11","二级材料","210","魔力石","PowerGem","160"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","12","二级材料","217","特殊 稀释剂","SpecialDiluted","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","13","二级材料","218","红色天然颜料","Lv12Refine_Dye_Red","1"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","14","三级/中间材料","300","红色基诺之星","MixGem","3"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","15","三级/中间材料","313","恶魔术士的蓝宝石","Advance_Item_RedJewel","3"
"AblazeGarment","414","阿博雷兹之服","AblazeGarment","16","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","0","成品行","413","阿博雷兹之盔","AblazeHelmet","99"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","1","三级/中间材料","308","燃起的烟火 衣料","Lv12Refine_FireCloth","2"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","2","二级材料","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","3","二级材料","214","烟火之净水","Lv12Refine_Marrow_Fire","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","4","三级/中间材料","309","皮带","Strap","2000"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","5","三级/中间材料","310","魔力的 净水","Lv12Refine_Magic_Cream","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","6","二级材料","215","精工宝石","WareGemstone","50"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","7","二级材料","210","魔力石","PowerGem","50"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","8","三级/中间材料","311","火山的 钢绞线","Lv12Refine_Yarn_Red","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","9","二级材料","216","火山的 茧","Lv12Refine_Cocoon_Red","3"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","10","三级/中间材料","312","魔力的 红色颜料","Lv12Refine_ManaDye_Red","2"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","11","二级材料","210","魔力石","PowerGem","160"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","12","二级材料","217","特殊 稀释剂","SpecialDiluted","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","13","二级材料","218","红色天然颜料","Lv12Refine_Dye_Red","1"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","14","三级/中间材料","300","红色基诺之星","MixGem","2"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","15","三级/中间材料","313","恶魔术士的蓝宝石","Advance_Item_RedJewel","2"
"AblazeHelmet","413","阿博雷兹之盔","AblazeHelmet","16","三级/中间材料","301","艾拉恩的 雅拉无 咒文书","Lv12Refine_YellowScroll","1"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","0","成品行","416","阿博雷兹之靴","AblazeBoots","99"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","1","三级/中间材料","308","燃起的烟火 衣料","Lv12Refine_FireCloth","2"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","2","二级材料","213","萨菲罗斯 衣料","Lv12Refine_SephirothCloth","5"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","3","二级材料","214","烟火之净水","Lv12Refine_Marrow_Fire","1"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","4","三级/中间材料","309","皮带","Strap","2000"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","5","三级/中间材料","310","魔力的 净水","Lv12Refine_Magic_Cream","1"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","6","二级材料","215","精工宝石","WareGemstone","50"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","7","二级材料","210","魔力石","PowerGem","50"
"AblazeBoots","416","阿博雷兹之靴","AblazeBoots","8","三级/中间材料","311","火山的 钢绞线","Lv12Refine_Yarn_Red","1"
